1,Site,Bearing,Point,Litter Cover,Litter Depth OG,Litter Depth,Undergrowth,Growth >2m,Canopy Cover,Notes,Recorder
804,BR-BR-05,South,15,100,34,29,12,3.1,100,,BP
805,BR-BR-05,South,20,100,29,24,32,7.5,90,,BP
806,BR-BR-05,South,25,100,19,14,42,26.8,60,,BP
807,BR-BR-05,South,30,40,16,11,,13.9,60,,BP
808,BR-BR-05,South,35,100,45,40,,28.5,80,,BP
809,BR-BR-05,South,40,100,26,21,42,2.8,80,,BP
810,BR-BR-05,South,45,90,18,13,,12.7,60,,BP
811,BR-BR-05,South,50,50,5,0,,3.3,80,,BP
812,BR-BR-05,West,5,90,32,27,,15.8,80,,BP
813,BR-BR-05,West,10,40,46,41,11,27.9,50,,BP
814,BR-BR-05,West,15,100,76,71,,33.7,10,,BP
815,BR-BR-05,West,20,100,24,19,18,30.8,20,,BP
816,BR-BR-05,West,25,0,5,0,,8.7,10,Fallen Tree,BP
817,BR-BR-05,West,30,40,61,56,,9.8,10,,BP
818,BR-BR-05,West,35,100,48,43,"17, 24, 70, 90",17.8,30,,BP
819,BR-BR-05,West,40,90,19,14,"5, 15",18.2,30,,BP
820,BR-BR-05,West,45,100,52,47,29,23.7,40,,BP
821,BR-BR-05,West,50,100,41,36,,8.8,50,,BP
822,BR-UR-05,North,5,60,27,22,,6.4,90,,
823,BR-UR-05,North,10,20,18,13,,1,100,,
824,BR-UR-05,North,15,100,67,62,60,1.5,90,,
825,BR-UR-05,North,20,90,54,49,"74, 80",7.5,90,,
826,BR-UR-05,North,25,90,29,24,,3.8,100,,
827,BR-UR-05,North,30,80,47,42,,2.8,90,,
828,BR-UR-05,North,35,70,34,29,,0.7,100,,
829,BR-UR-05,North,40,50,50,45,"68, 181",4.4,90,,
830,BR-UR-05,North,45,90,39,34,,0.8,90,,
831,BR-UR-05,North,50,70,45,40,"4, 191",0.2,80,,
832,BR-UR-05,East,5,30,71,66,"98, 136, 149",2.9,100,Rocks,
833,BR-UR-05,East,10,40,37,32,"111, 168, 174",0.2,90,Rocks,
834,BR-UR-05,East,15,100,36,31,100,2.8,90,Rocks,
835,BR-UR-05,East,20,30,85,80,,3.3,100,Rocks,
836,BR-UR-05,East,25,90,59,54,,1.4,90,Rocks,
837,BR-UR-05,East,30,40,107,102,5,2.9,90,Rocks,
838,BR-UR-05,East,35,40,43,38,,14.5,90,Rocks,
839,BR-UR-05,East,40,100,24,19,,2.7,90,Rocks,
840,BR-UR-05,East,45,90,29,24,,0.7,100,Rocks,
841,BR-UR-05,East,50,60,23,18,,5.9,90,Rocks,
842,BR-UR-05,South,5,100,66,61,27,5.7,90,Rocks,
843,BR-UR-05,South,10,90,40,35,139,1,100,Rocks,
844,BR-UR-05,South,15,20,95,90,,3.8,90,Rocks,
845,BR-UR-05,South,20,10,25,20,,3.2,100,Rocks,
846,BR-UR-05,South,25,40,41,36,,4.6,100,Rocks,
847,BR-UR-05,South,30,90,29,24,,7.6,90,,
848,BR-UR-05,South,35,100,52,47,,10.2,90,,
849,BR-UR-05,South,40,90,70,65,49,21.8,90,Rocks,
850,BR-UR-05,South,45,90,31,26,"68, 177",0.2,90,,
851,BR-UR-05,South,50,100,44,39,"76, 82, 83, 85",0.2,80,,
852,BR-UR-05,West,5,50,32,27,,7.4,90,,
853,BR-UR-05,West,10,40,75,70,"184, 170",0.2,100,,
854,BR-UR-05,West,15,100,34,29,124,3.7,100,,
855,BR-UR-05,West,20,90,29,24,,1.1,100,,
856,BR-UR-05,West,25,90,51,46,155,2.1,100,,
857,BR-UR-05,West,30,100,34,29,,20.1,90,,
858,BR-UR-05,West,35,90,45,40,,0.2,100,,
859,BR-UR-05,West,40,100,74,69,,1.6,90,,
860,BR-UR-05,West,45,90,70,65,,2.9,100,,
861,BR-UR-05,West,50,90,51,46,,4.5,100,,
862,TL-BR-01,North,5,100,22,17,"60, 77",13.9,60,,
863,TL-BR-01,North,10,100,25,20,"7, 14, 174",15.7,50,,
864,TL-BR-01,North,15,40,26,21,"7, 12, 16, 52",16.3,30,,
865,TL-BR-01,North,20,20,15,10,"5, 12, 48, 60",15.6,20,,
866,TL-BR-01,North,25,50,26,21,"3, 9, 11, 19, 25, 28, 44",16.9,20,,
867,TL-BR-01,North,30,10,21,16,"20, 34, 49, 62",30.8,10,,
868,TL-BR-01,North,35,40,17,12,"6, 10",30.9,10,,
869,TL-BR-01,North,40,10,15,10,"1, 2, 12, 17, 26",28.6,10,,
870,TL-BR-01,North,45,70,22,17,,37.4,20,,
871,TL-BR-01,North,50,90,19,14,"3, 20, 57, 65, 72, 74, 100",31.2,70,,
872,TL-BR-01,East,5,100,26,21,,13.8,80,,
873,TL-BR-01,East,10,50,16,11,9,18.1,70,,
874,TL-BR-01,East,15,10,44,39,"1, 5, 6, 12",20,50,,
875,TL-BR-01,East,20,100,20,15,"6, 41, 185",1.8,70,,
876,TL-BR-01,East,25,40,27,22,"63, 76, 145, 154, 170, 191",2.1,90,,
877,TL-BR-01,East,30,80,28,23,5,1.5,90,,
878,TL-BR-01,East,35,80,26,21,"25, 39",1.5,80,,
879,TL-BR-01,East,40,100,14,9,"13, 19",3.7,40,,
880,TL-BR-01,East,45,20,12,7,,17.9,10,,
881,TL-BR-01,East,50,60,30,25,10,23.2,10,,
882,TL-BR-01,South,5,90,22,17,"6, 13, 78",18.9,50,,
883,TL-BR-01,South,10,80,42,37,"4, 39",19.8,70,,
884,TL-BR-01,South,15,100,25,20,"5, 12, 17, 26, 33",3.4,60,,
885,TL-BR-01,South,20,100,44,39,"30, 42, 64",0.8,60,,
886,TL-BR-01,South,25,10,19,14,"1, 3, 6, 10",24.1,30,,
887,TL-BR-01,South,30,90,21,16,"6, 10, 16, 24",7.1,10,,
888,TL-BR-01,South,35,20,28,23,,38.7,10,,
889,TL-BR-01,South,40,50,24,19,,38.9,20,,
890,TL-BR-01,South,45,80,34,29,,25.8,20,,
891,TL-BR-01,South,50,100,36,31,"16, 24, 72",31.6,30,,
892,TL-BR-01,West,5,10,29,24,"3, 7, 18, 31, 40",20.7,70,,
893,TL-BR-01,West,10,10,38,33,"1, 2, 6",20.2,60,,
894,TL-BR-01,West,15,40,19,14,"5, 12, 57",13.8,60,,
895,TL-BR-01,West,20,80,32,27,27,1.8,50,,
896,TL-BR-01,West,25,100,33,28,"91, 126",4,80,,
897,TL-BR-01,West,30,100,32,27,2,12.8,80,,
898,TL-BR-01,West,35,90,24,19,"9, 41",10.5,70,,
899,TL-BR-01,West,40,90,24,19,,2.2,50,,
900,TL-BR-01,West,45,50,35,30,"1, 3",8,10,,
901,TL-BR-01,West,50,90,32,27,"6, 24, 29, 58",18.2,20,,
902,TL-UR-01,North,5,80,14,9,13,8.4,80,,
903,TL-UR-01,North,10,70,26,21,6,22.3,80,,
904,TL-UR-01,North,15,70,22,17,,25.1,80,,
905,TL-UR-01,North,20,100,48,43,,3.3,90,,
906,TL-UR-01,North,25,40,40,35,,2.1,90,Log,
907,TL-UR-01,North,30,80,25,20,"27, 36",5.1,80,,
908,TL-UR-01,North,35,100,32,27,10,19.9,70,,
909,TL-UR-01,North,40,100,18,13,,3,80,,
910,TL-UR-01,North,45,100,29,24,,4.6,90,,
911,TL-UR-01,North,50,90,15,10,,6.9,90,,
912,TL-UR-01,East,5,100,35,30,19,15.8,100,,
913,TL-UR-01,East,10,50,24,19,,8.3,100,Base of Tree,
914,TL-UR-01,East,15,100,42,37,,14.9,90,,
915,TL-UR-01,East,20,100,51,46,8,7.1,90,,
916,TL-UR-01,East,25,100,38,33,,7.8,90,,
917,TL-UR-01,East,30,100,10,5,"72, 83, 94",0.8,90,,
918,TL-UR-01,East,35,100,30,25,"72, 168",0.2,90,,
919,TL-UR-01,East,40,100,33,28,169,1.6,90,,
920,TL-UR-01,East,45,100,43,38,6,0.9,70,,
921,TL-UR-01,East,50,100,37,32,111,1.3,90,,
922,TL-UR-01,South,5,80,21,16,"162, 173, 144, 150, 156, 159",0.2,90,,
923,TL-UR-01,South,10,100,41,36,44,7.6,90,,
924,TL-UR-01,South,15,90,17,12,38,0.2,90,,
925,TL-UR-01,South,20,100,32,27,"22, 131",6.4,90,,
926,TL-UR-01,South,25,90,26,21,,7.4,90,,
927,TL-UR-01,South,30,90,41,36,,9.6,90,,
928,TL-UR-01,South,35,100,22,17,96,7.2,90,,
929,TL-UR-01,South,40,90,34,29,6,5.5,90,,
930,TL-UR-01,South,45,100,47,42,196,1.2,90,,
931,TL-UR-01,South,50,100,34,29,,0.2,90,,
932,TL-UR-01,West,5,90,36,31,58,27.8,70,,
933,TL-UR-01,West,10,100,31,26,"31, 38",24.2,60,,
934,TL-UR-01,West,15,100,49,44,"69, 108",6.5,80,,
935,TL-UR-01,West,20,100,15,10,1,9.1,80,,
936,TL-UR-01,West,25,80,16,11,"51, 67",0.8,90,,
937,TL-UR-01,West,30,50,36,31,66,3.7,90,,
938,TL-UR-01,West,35,90,40,35,117,2.7,90,,
939,TL-UR-01,West,40,90,35,30,"8, 11",1.5,90,,
940,TL-UR-01,West,45,100,42,37,"12, 20",5.4,90,,
941,TL-UR-01,West,50,100,69,64,,6.8,90,,
942,TL-BS-01,Northeast,5,100,23,18,23,13,30,,BP
943,TL-BS-01,Northeast,10,80,18,13,18,9.8,30,,BP
944,TL-BS-01,Northeast,15,100,30,25,30,7.2,60,Log,BP
945,TL-BS-01,Northeast,20,90,18,13,18,10.9,50,,BP
946,TL-BS-01,Northeast,25,90,13,8,13,0.2,90,,BP
947,TL-BS-01,Northeast,30,80,48,43,48,1.6,90,Base of Tree,BP
948,TL-BS-01,Northeast,35,100,36,31,36,5.2,20,,BP
949,TL-BS-01,Northeast,40,40,11,6,11,14.6,10,,BP
950,TL-BS-01,Northeast,45,90,22,17,22,11.3,30,,BP
951,TL-BS-01,Northeast,50,100,30,25,30,3.4,20,,BP
952,TL-BS-01,Southeast,5,50,9,4,9,12.9,20,,BP
953,TL-BS-01,Southeast,10,40,29,24,29,11.8,30,,BP
954,TL-BS-01,Southeast,15,30,20,15,20,6.1,30,,BP
955,TL-BS-01,Southeast,20,40,17,12,17,,0,,BP
956,TL-BS-01,Southeast,25,80,44,39,44,,0,,BP
957,TL-BS-01,Southeast,30,90,20,15,20,0.2,60,,BP
958,TL-BS-01,Southeast,35,70,49,44,49,,0,Fallen Tree,BP
959,TL-BS-01,Southeast,40,90,28,23,28,,0,,BP
960,TL-BS-01,Southeast,45,90,34,29,34,16.3,10,,BP
961,TL-BS-01,Southeast,50,20,40,35,40,17.8,40,,BP
962,TL-BS-01,Southwest,5,20,16,11,16,7.8,50,,BP
963,TL-BS-01,Southwest,10,10,12,7,12,19.7,10,,BP
964,TL-BS-01,Southwest,15,20,15,10,15,2.8,20,,BP
965,TL-BS-01,Southwest,20,60,10,5,10,23.9,30,,BP
966,TL-BS-01,Southwest,25,20,19,14,19,22.6,70,,BP
967,TL-BS-01,Southwest,30,50,16,11,16,9.1,80,,BP
968,TL-BS-01,Southwest,35,50,29,24,29,9.1,80,,BP
969,TL-BS-01,Southwest,40,40,45,40,45,10.2,30,Log,BP
970,TL-BS-01,Southwest,45,60,18,13,18,3.5,20,,BP
971,TL-BS-01,Southwest,50,30,22,17,22,17.9,20,,BP
972,TL-US-01,Northeast,50,90,20,15,"40, 88, 157",2.8,10,Fallen Tree,BP
973,TL-US-01,Northeast,45,100,29,24,"12, 42",9.5,10,,BP
974,TL-US-01,Northeast,40,90,17,12,"10, 30",1.3,10,,BP
975,TL-US-01,Northeast,35,100,22,17,,10.5,80,,BP
976,TL-US-01,Northeast,30,100,30,25,,5.3,80,,BP
977,TL-US-01,Northeast,25,100,49,44,,13.9,60,,BP
978,TL-US-01,Northeast,20,80,32,27,"2, 4, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30",9.8,20,,BP
979,TL-US-01,Northeast,15,100,24,19,18,3,10,,BP
980,TL-US-01,Northeast,10,90,27,22,"18, 23, 24, 25, 26, 45, 51, 52",7.7,10,,BP
981,TL-US-01,Northeast,5,100,20,15,"59, 78",,0,,BP
982,TL-US-01,Southeast,50,90,33,28,8,19.9,70,,BP
983,TL-US-01,Southeast,45,100,35,30,"37, 70",9.6,40,,BP
984,TL-US-01,Southeast,40,50,21,16,"8, 22, 26, 29, 34, 55, 37",1.6,80,Fallen Tree,BP
985,TL-US-01,Southeast,35,30,31,26,,1.4,50,,BP
986,TL-US-01,Southeast,30,80,36,31,"24, 32, 54",13.2,30,,BP
987,TL-US-01,Southeast,25,50,11,6,"90, 92",13.6,40,,BP
988,TL-US-01,Southeast,20,80,34,29,,6.3,50,,BP
989,TL-US-01,Southeast,15,90,37,32,,9.1,80,,BP
990,TL-US-01,Southeast,10,100,40,35,"2, 9",6.9,90,,BP
991,TL-US-01,Southeast,5,90,21,16,,0.2,80,,BP
992,TL-US-01,Southwest,50,100,21,16,31,9,40,,BP
993,TL-US-01,Southwest,45,100,32,27,,6.9,40,,BP
994,TL-US-01,Southwest,40,100,41,36,,10.1,50,,BP
995,TL-US-01,Southwest,35,80,38,33,"34, 63",8.8,60,,BP
996,TL-US-01,Southwest,30,100,30,25,"2, 16, 17, 68",6.8,70,,BP
997,TL-US-01,Southwest,25,60,19,14,"3, 7, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 34, 37",11.2,10,,BP
998,TL-US-01,Southwest,20,80,56,51,"13, 22, 25, 30, 31, 32, 33",2.5,80,,BP
999,TL-US-01,Southwest,15,100,30,25,,8.8,50,,BP
1000,TL-US-01,Southwest,10,80,15,10,"3, 11, 19, 24",10.3,30,,BP
1001,TL-US-01,Southwest,5,90,33,28,"10, 14",15.1,10,,BP
1002,TL-BS-02,North,5,90,22,17,"1, 14",20.4,10,,
1003,TL-BS-02,North,10,60,14,9,"2, 12, 13, 14, 15",7.8,60,,
1004,TL-BS-02,North,15,90,19,14,"2, 3, 4, 14, 16, 18, 27",7.1,40,,
1005,TL-BS-02,North,20,30,29,24,"4, 8, 14, 17, 22",4.5,70,Base of Tree,
1006,TL-BS-02,North,25,90,25,20,"13, 15, 18, 26, 27",13.2,20,,
1007,TL-BS-02,North,30,60,27,22,"1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 18, 23, 37, 61",13.8,10,,
1008,TL-BS-02,North,35,80,20,15,"1, 6, 18, 19, 20, 21, 25, 33",11.8,50,,
1009,TL-BS-02,North,40,90,24,19,"5, 8, 9, 10, 11, 12, 14, 18, 19, 24, 42",19,10,,
1010,TL-BS-02,North,45,50,15,10,"7, 14, 28, 50",8.5,50,,
1011,TL-BS-02,North,50,90,27,22,"27, 30",7.1,30,,
1012,TL-BS-02,East,5,90,20,15,"22, 26",11,10,,
1013,TL-BS-02,East,10,90,22,17,"2, 17, 33, 52",10.3,60,,
1014,TL-BS-02,East,15,90,30,25,30,5,80,,
1015,TL-BS-02,East,20,100,31,26,"7, 23",7.2,50,,
1016,TL-BS-02,East,25,90,17,12,"1, 2, 3, 4, 7, 14, 40",19.8,50,,
1017,TL-BS-02,East,30,90,29,24,"1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 38, 45",6.6,40,,
1018,TL-BS-02,East,35,90,17,12,"3, 8, 14, 29, 32, 33, 34, 41, 48",9.2,60,,
1019,TL-BS-02,East,40,80,11,6,"6, 8, 48",19.8,40,,
1020,TL-BS-02,East,45,90,40,35,"1, 2, 3, 4, 5, 6, 14, 15, 16, 17, 24, 25, 26, 27, 29, 45, 48, 65",9.9,80,,
1021,TL-BS-02,East,50,100,26,21,"1, 33",9.7,70,,
1022,TL-BS-02,South,5,90,21,16,"10, 11, 12, 14, 22, 45, 68",2.3,60,,
1023,TL-BS-02,South,10,90,19,14,"29, 34, 39",3.9,50,,
1024,TL-BS-02,South,15,90,21,16,"7, 15",7.4,50,,
1025,TL-BS-02,South,20,80,26,21,"2, 15, 23, 36",4.3,60,,
1026,TL-BS-02,South,25,70,15,10,"1, 15, 22, 36, 40, 44",3.6,50,,
1027,TL-BS-02,South,30,20,23,18,"15, 23, 24, 25, 28, 38",13.7,30,,
1028,TL-BS-02,South,35,60,17,12,"6, 18, 32, 41, 59, 98",7.6,20,,
1029,TL-BS-02,South,40,70,32,27,"2, 18, 23, 28, 29, 32",2.9,20,,
1030,TL-BS-02,South,45,50,25,20,"6, 14, 28",6.8,40,,
1031,TL-BS-02,South,50,40,22,17,23,13.8,40,,
1032,TL-US-02,Northeast,5,10,24,19,,12,70,"Base of tree, maybe burnt?",
1033,TL-US-02,Northeast,10,100,28,23,16,16.8,50,Maybe burnt,
1034,TL-US-02,Northeast,15,100,27,22,"1, 25, 33, 34, 40",21.2,10,Maybe burnt,
1035,TL-US-02,Northeast,20,100,24,19,"16, 26, 39, 54",0.6,60,Maybe burnt,
1036,TL-US-02,Northeast,25,100,72,67,"8, 10, 23",13,40,Maybe burnt,
1037,TL-US-02,Northeast,30,100,30,25,,14,30,Maybe burnt,
1038,TL-US-02,Northeast,35,100,21,16,"3, 4, 5, 10, 20",,0,Maybe burnt,
1039,TL-US-02,Northeast,40,90,34,29,"22, 56",19.8,10,Maybe burnt,
1040,TL-US-02,Northeast,45,100,26,21,,22.7,10,Maybe burnt,
1041,TL-US-02,Northeast,50,100,29,24,"1, 13",16.2,50,Maybe burnt,
1042,TL-US-02,Southeast,5,90,24,19,"2, 3, 4, 5, 12, 36",14.8,40,,
1043,TL-US-02,Southeast,10,0,5,0,,,0,Fallen Tree,
1044,TL-US-02,Southeast,15,100,36,31,8,16.2,10,,
1045,TL-US-02,Southeast,20,90,30,25,"54, 74, 121",4.5,60,,
1046,TL-US-02,Southeast,25,90,31,26,28,16.3,10,,
1047,TL-US-02,Southeast,30,100,16,11,,12.9,70,,
1048,TL-US-02,Southeast,35,100,29,24,"1, 13, 29, 37",13.8,60,,
1049,TL-US-02,Southeast,40,100,37,32,"2, 15",16.6,50,,
1050,TL-US-02,Southeast,45,90,35,30,"4, 21, 25",12.2,40,,
1051,TL-US-02,Southeast,50,100,36,31,"21, 57",16.5,40,,
1052,TL-US-02,Southwest,5,100,23,18,3,14.2,60,,
1053,TL-US-02,Southwest,10,80,23,18,"1, 2",14.1,20,,
1054,TL-US-02,Southwest,15,90,27,22,"1, 2, 3, 4, 5, 10, 34",10.5,30,,
1055,TL-US-02,Southwest,20,90,25,20,"1, 2, 3, 15",16.8,10,,
1056,TL-US-02,Southwest,25,90,19,14,"10, 12, 16",19.3,10,,
1057,TL-US-02,Southwest,30,100,52,47,"12, 30",7.4,30,,
1058,TL-US-02,Southwest,35,100,34,29,"6, 7, 11, 23, 26",23.3,20,,
1059,TL-US-02,Southwest,40,80,31,26,"20, 22, 40",10.1,50,Log,
1060,TL-US-02,Southwest,45,90,15,10,"4, 12",3.8,40,,
1061,TL-US-02,Southwest,50,90,33,28,,11.5,30,,
1062,TL-BS-03,North,5,90,21,16,3,17.8,70,,
1063,TL-BS-03,North,10,80,24,19,1,17.7,50,,
1064,TL-BS-03,North,15,30,7,2,"1, 2, 3, 4, 5, 6, 7, 8, 16, 20, 21, 22, 23",7.9,60,,
1065,TL-BS-03,North,20,40,16,11,"13, 14, 35, 42",11.4,50,,
1066,TL-BS-03,North,25,60,21,16,"5, 21, 54",17.8,20,,
1067,TL-BS-03,North,30,40,20,15,"4, 8, 12",19.3,50,,
1068,TL-BS-03,North,35,30,8,3,"2, 4",11,50,,
1069,TL-BS-03,North,40,50,25,20,"11, 26, 28",,0,,
1070,TL-BS-03,North,45,30,15,10,,13.8,10,,
1071,TL-BS-03,North,50,40,17,12,,19,20,,
1072,TL-BS-03,East,5,60,23,18,,21.8,50,,
1073,TL-BS-03,East,10,90,20,15,"7, 8, 9, 10, 11, 12, 23, 27, 34, 39, 52",18.6,70,,
1074,TL-BS-03,East,15,90,13,8,"5, 13, 20",10.8,70,,
1075,TL-BS-03,East,20,100,22,17,1,9.1,70,,
1076,TL-BS-03,East,25,60,20,15,,18.8,10,,
1077,TL-BS-03,East,30,60,17,12,"10, 22, 36",,0,,
1078,TL-BS-03,East,35,30,19,14,"1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 15, 16, 18, 22, 23, 32",3.8,50,,
1079,TL-BS-03,East,40,80,15,10,"10, 13, 20, 21, 22, 23, 24, 29, 35, 56",2.8,70,,
1080,TL-BS-03,East,45,50,24,19,"6, 10, 19",12,20,,
1081,TL-BS-03,East,50,40,11,6,1,18.8,10,,
1082,TL-BS-03,West,5,90,19,14,"1, 10, 11, 12, 15, 19",22,20,,
1083,TL-BS-03,West,10,30,15,10,"2, 3, 18, 35",18.8,20,,
1084,TL-BS-03,West,15,40,18,13,28,15.9,40,,
1085,TL-BS-03,West,20,50,24,19,"4, 5, 6, 7, 8, 12, 17, 18",19.8,60,,
1086,TL-BS-03,West,25,60,22,17,"7, 8, 31",12.2,60,,
1087,TL-BS-03,West,30,70,26,21,"5, 24, 26",7.3,60,,
1088,TL-BS-03,West,35,90,19,14,"1, 2, 3, 10, 12, 49",19,60,,
1089,TL-BS-03,West,40,80,22,17,"2, 7",24.6,80,,
1090,TL-BS-03,West,45,60,22,17,"14, 27, 30, 32, 50",20.7,60,,
1091,TL-BS-03,West,50,70,21,16,,14.8,70,,
1092,TL-BS-03,South,5,60,26,21,"7, 11, 12, 13, 20",23,40,,
1093,TL-BS-03,South,10,70,28,23,"20, 22, 28",19.8,60,,
1094,TL-BS-03,South,15,100,28,23,"15, 28",27.7,80,Log,
1095,TL-BS-03,South,20,50,25,20,"7, 9, 15, 24, 29, 30, 31, 72",22.8,40,,
1096,TL-BS-03,South,25,50,19,14,"10, 13, 14, 23, 56, 67",20.7,10,,
1097,TL-BS-03,South,30,90,23,18,,17.3,40,,
1098,TL-BS-03,South,35,40,17,12,"1, 2, 20",23.3,30,,
1099,TL-BS-03,South,40,80,21,16,,19.8,50,,
1100,TL-BS-03,South,45,80,27,22,"10, 23, 47",16.8,30,,
1101,TL-BS-03,South,50,50,26,21,"6, 14, 15, 21, 23",,0,,
1102,TL-US-03,North,5,50,27,22,"4, 5, 6, 7, 8, 9, 10, 25",4.8,60,,
1103,TL-US-03,North,10,40,29,24,"1, 2, 3, 4, 5, 6, 16, 17, 22, 52, 65",13,40,,
1104,TL-US-03,North,15,50,20,15,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 24, 26, 28, 29, 30, 39, 45, 55",2.1,10,,
1105,TL-US-03,North,20,90,15,10,"1, 12, 17",5.8,60,,
1106,TL-US-03,North,25,100,39,34,"2, 3",18.6,20,,
1107,TL-US-03,North,30,60,36,31,"1, 2, 3, 15, 32, 45, 99",,0,,
1108,TL-US-03,North,35,90,22,17,,8.8,10,,
1109,TL-US-03,North,40,70,42,37,"1, 2, 3, 4, 5, 9, 16, 29, 30",8.5,30,,
1110,TL-US-03,North,45,20,20,15,"1, 4, 6, 7, 23, 28, 29, 30, 31, 32, 33, 37, 53",19,20,,
1111,TL-US-03,North,50,50,38,33,"1, 2, 3, 4, 5, 32, 36, 59",17.8,50,,
1112,TL-US-03,East,5,60,19,14,"1, 3",,0,,
1113,TL-US-03,East,10,50,24,19,"2, 3",16.8,20,,
1114,TL-US-03,East,15,40,18,13,"3, 31",13.8,20,,
1115,TL-US-03,East,20,80,16,11,"5, 13, 41, 42",14.4,10,,
1116,TL-US-03,East,25,90,36,31,"1, 2, 3, 4, 26, 31",9.3,20,,
1117,TL-US-03,East,30,60,22,17,"3, 5",11.8,50,,
1118,TL-US-03,East,35,70,38,33,"2, 11, 31",2,80,,
1119,TL-US-03,East,40,30,27,22,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17",14.8,30,,
1120,TL-US-03,East,45,70,21,16,62,3,10,,
1121,TL-US-03,East,50,70,26,21,"1, 2, 3, 4, 5, 6, 13, 15, 21, 28",1.7,50,,
1122,TL-US-03,South,5,70,30,25,"9, 10, 14",8.6,10,,
1123,TL-US-03,South,10,90,26,21,"1, 2, 3, 4, 5, 6, 43, 73",10.8,50,,
1124,TL-US-03,South,15,60,32,27,"1, 2, 12",10.8,40,,
1125,TL-US-03,South,20,90,29,24,"12, 14, 16",16.8,40,,
1126,TL-US-03,South,25,90,29,24,"1, 2, 3, 29",17.8,50,,
1127,TL-US-03,South,30,30,31,26,"4, 12, 13, 14, 15, 19, 22",15.2,50,,
1128,TL-US-03,South,35,100,31,26,"1, 6, 24",12.3,30,,
1129,TL-US-03,South,40,90,21,16,,19.2,10,,
1130,TL-US-03,South,45,60,15,10,"12, 31",13.5,20,,
1131,TL-US-03,South,50,80,19,14,"10, 26",9.9,30,,
1132,TL-US-03,West,5,70,23,18,29,15.2,10,,
1133,TL-US-03,West,10,70,23,18,"1, 2, 3, 4, 5, 6",,0,,
1134,TL-US-03,West,15,90,17,12,,8.5,30,,
1135,TL-US-03,West,20,40,18,13,"1, 3, 5",13.7,10,,
1136,TL-US-03,West,25,70,24,19,"1, 3, 4",10.4,0,,
1137,TL-US-03,West,30,50,20,15,"1, 2, 3, 4",10,20,,
1138,TL-US-03,West,35,90,24,19,"3, 10, 11, 12, 15, 25",2.1,40,,
1139,TL-US-03,West,40,50,17,12,"1, 2, 3, 4, 6",10,20,,
1140,TL-US-03,West,45,50,22,17,,13.8,0,Rocks,
1141,TL-US-03,West,50,40,17,12,"1, 2, 3, 4, 5",12.9,20,Rocks,
1142,WP-BR-01,North,10,100,23,18,"4, 23, 115, 189",0.2,0,,
1143,WP-BR-01,North,20,100,38,33,"10, 13, 16, 17, 27, 36, 44, 83",21.8,80,,
1144,WP-BR-01,North,30,90,29,24,"14, 29, 38, 44, 47, 61, 96, 148",12.8,50,,
1145,WP-BR-01,North,40,100,28,23,"61, 64, 76, 106, 158, 198",0.2,70,,
1146,WP-BR-01,North,50,20,17,12,22,,0,Log,
1147,WP-BR-01,East,10,80,16,11,,25.4,40,,
1148,WP-BR-01,East,20,70,30,25,,30.8,80,,
1149,WP-BR-01,East,30,40,36,31,"6, 14",20.8,70,,
1150,WP-BR-01,East,40,90,49,44,"24, 47, 52",12.8,80,,
1151,WP-BR-01,East,50,90,35,30,"179, 194",12.1,90,Base of tree,
1152,WP-BR-01,South,10,80,15,10,,2.7,90,,
1153,WP-BR-01,South,20,100,37,32,,6,80,,
1154,WP-BR-01,South,30,50,25,20,25,11.8,70,Base of tree,
1155,WP-BR-01,South,40,90,50,45,,14.8,60,,
1156,WP-BR-01,South,50,100,41,36,"16, 25",28.2,60,Fallen Tree,
1157,WP-BR-01,West,10,80,19,14,"7, 14, 25, 32, 39, 46, 57, 66, 77",,0,,
1158,WP-BR-01,West,20,50,17,12,"3, 68, 129, 138, 140, 144, 170, 180, 181",0.2,0,,
1159,WP-BR-01,West,30,40,22,17,,,0,,
1160,WP-BR-01,West,40,90,24,19,"52, 67, 90, 99, 135",,0,,
1161,WP-BR-01,West,50,80,24,19,"19, 35, 44, 53, 59, 72, 114, 128",,0,,
1162,WP-UR-01,North,10,90,27,22,"176, 179",3.1,100,,
1163,WP-UR-01,North,20,100,32,27,"21, 101, 124, 140, 144",1.5,100,,
1164,WP-UR-01,North,30,100,53,48,"83, 141",0.2,100,,
1165,WP-UR-01,North,40,100,37,32,,3,100,,
1166,WP-UR-01,North,50,100,57,52,"90, 110, 111",5.6,100,,
1167,WP-UR-01,East,10,100,28,23,,1.6,100,,
1168,WP-UR-01,East,20,80,40,35,160,0.2,70,Log,
1169,WP-UR-01,East,30,90,16,11,"14, 82",1,100,,
1170,WP-UR-01,East,40,100,31,26,"153, 157, 186",1.6,90,,
1171,WP-UR-01,East,50,100,31,26,172,0.2,100,,
1172,WP-UR-01,South,10,100,28,23,,0.2,100,,
