name,lon,lat,ele,time,,sym,type,extensions
TC-BR-01,153.313737,-28.565375,225.749,2020-11-17T19:40:15Z,,"Flag, Blue",Blue Flag,NC-BR-01
TC-BR-02,153.315057,-28.564977,233.75,2020-11-17T21:07:03Z,,"Flag, Blue",Blue Flag,NC-BR-02
TC-UR-01,153.312972,-28.566023,214.467,2020-11-18T21:03:54Z,,"Flag, Blue",Blue Flag,NC-UR-01
TC-UR-02,153.315418,-28.56427,229.606,2020-11-17T21:28:53Z,,"Flag, Blue",Blue Flag,NC-UR-02
NC01EDIT,153.312611,-28.563102,225.192,2020-11-17T06:50:41Z,,"Flag, Blue",Blue Flag,NC01EDIT
NC03EDIT,153.31546,-28.56153,238.24,2020-11-17T05:43:05Z,,"Flag, Blue",Blue Flag,NC03EDIT
QUOLL,153.311678,-28.566714,205.917,2020-11-17T03:44:21Z,,"Flag, Blue",Blue Flag,QUOLL
STARTFIRE,153.293255,-28.540596,737.917,2020-12-06T20:46:35Z,,"Flag, Blue",Blue Flag,STARTFIRE
TC-UR-03,153.31387,-28.563739,217.431,2020-11-17T20:51:19Z,,"Flag, Blue",Blue Flag,T1-01-UR
TL-BS-01,152.359742,-28.510844,607.184,2020-11-26T07:32:47Z,,"Flag, Blue",Blue Flag,TL-BS-01
TL-BS-02,152.361006,-28.506694,731.511,2020-11-25T05:27:55Z,,"Flag, Blue",Blue Flag,TL-BS-02
TL-BS-03,152.371659,-28.491717,744.411,2020-11-26T05:43:41Z,,"Flag, Blue",Blue Flag,TL-BS-03
TL-UR-01,152.401316,-28.482154,681.895,2020-11-20T07:55:22Z,,"Flag, Blue",Blue Flag,TL-UR-01
TL-US-01,152.352818,-28.514677,607.152,2020-11-25T20:08:01Z,,"Flag, Blue",Blue Flag,TL-US-01
TL-US-02,152.355016,-28.512885,715.41,2020-11-25T04:50:29Z,,"Flag, Blue",Blue Flag,TL-US-02
TL-US-03,152.36208,-28.504105,738.187,2020-11-25T06:45:10Z,,"Flag, Blue",Blue Flag,TL-US-03
UREDGE,153.300616,-28.539595,790.435,2020-12-06T21:20:14Z,,"Flag, Blue",Blue Flag,UREDGE
WP-BR-01,152.333652,-29.474974,893.588,2020-12-10T07:16:53Z,,"Flag, Blue",Blue Flag,WP-BR-01
WP-BR-02,152.33317,-29.47405,896.317,2020-12-10T20:00:46Z,,"Flag, Blue",Blue Flag,WP-BR-02
WP-UR-01,152.334751,-29.475394,878.674,2020-12-10T07:36:19Z,,"Flag, Blue",Blue Flag,WP-UR-01
WP-UR-02,152.334534,-29.474164,854.056,2020-12-10T20:23:06Z,,"Flag, Blue",Blue Flag,WP-UR-02
,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,Long,Lat,,Location,,,,
GRR_1,153.3268692,-28.60305095,,Gibbergunyah Range Road,,,,
Terania _ 02,153.3176835,-28.56191216,,Terania Creek,,,,
T_01_UNSW,153.3131427,-28.56492853,,Terania Creek,,,,
AN2a,153.3756112,-28.58160433,,Peates Mountain,,,,
AN2b,153.3757902,-28.58305708,,Peates Mountain,,,,
AN2c,153.3750252,-28.58361884,,Peates Mountain,,,,
AN4b,153.2905704,-28.54372132,,Mt Nardi,,,,
AW2a,152.335131,-29.47605191,,Washpool,,,,
AW2b,152.3340947,-29.47521643,,Washpool,,,,
AW2c,152.3336181,-29.47396859,,Washpool,,,,
BFEH1_s1,153.3613543,-28.58102925,,Blue Fig Road,,,,
BFEH2_s1,153.3509299,-28.57666976,,Blue Fig Road,,,,
BFEH3_s1,153.3584993,-28.58045913,,Blue Fig Road,,,,
BFEH4_s1,153.3579877,-28.58034314,,Blue Fig Road,,,,
BFEH5_s1,153.3468127,-28.57155333,,Blue Fig Road,,,,
BFESed1_s1,153.3623317,-28.57978099,,Blue Fig Road,,,,
Border Ranges 7,152.755346,-28.37168266,,Border Ranges,,,,
Border Ranges 8,152.7164487,-28.34976254,,Border Ranges,,,,
MtJ_S1,153.3556842,-28.52174933,,Mount Jerusalem,,,,
N15_NEBBT_S1,153.3480375,-28.56154887,,Gibbergunyah Range Road,,,,
N15_RF_S1,153.3480375,-28.56154887,,Gibbergunyah Range Road,,,,
Nightcap 1,153.311287,-28.56319971,,Terania Creek,,,,
Nightcap 2,153.3129778,-28.56102044,,Terania Creek,,,,
Nightcap 3,153.3164532,-28.56077769,,Terania Creek,,,,
Nightcap 4,153.334295,-28.55463303,,Gibbergunyah Range Road,,,,
Nightcap 5,153.3002796,-28.53940357,,Mt Matheson,,,,
Nightcap 6,153.3470512,-28.56320324,,Gibbergunyah Range Road,,,,
Nightcap BFEH1,153.3613543,-28.58102925,,Blue Fig Road,,,,
Nightcap BFEH2,153.3509299,-28.57666976,,Blue Fig Road,,,,
Nightcap BFEH3,153.3584993,-28.58045913,,Blue Fig Road,,,,
Nightcap BFEH4,153.3579877,-28.58034314,,Blue Fig Road,,,,
Nightcap BFEH5,153.3468127,-28.57155333,,Blue Fig Road,,,,
PMUA1_baseline,153.3756396,-28.58095434,,Peates Mountain,,,,
PMUA2_s1,153.3607632,-28.56963946,,Peates Mountain,,,,
PMUA3_baseline,153.3603305,-28.56865672,,Peates Mountain,,,,
T29_S1,153.3547377,-28.56869854,,Tungun Road,,,,
Tooloom 12,152.4001112,-28.48316031,,Tuckerbox Road,,,,
Yabbra NP,152.4840368,-28.68240881,,Yabbra Plains Road,,,,
