"","Site","Estimate_abundance","se_abundance","CV_abundance","Estimate_density","se_density","CV_density","Fire","Formation","Treatment","Location"
"69","TL-BR-01",55.2128633899754,8.63518243313758,0.156398018558578,0.0879185722770309,0.0137502904986267,0.156398018558578,"Burnt","Rainforest","RainforestBurnt","Tooloom"
"70","TL-BS-01",64.0605414162522,8.60070890284899,0.134259072944191,0.102007231554542,0.0136953963421162,0.134259072944191,"Burnt","Dry Sclerophyll","Dry SclerophyllBurnt","Captains Creek"
"71","TL-BS-02",69.3989198676066,9.00174122250603,0.129710105570502,0.110507834184087,0.0143339828383854,0.129710105570502,"Burnt","Dry Sclerophyll","Dry SclerophyllBurnt","Captains Creek"
"72","TL-BS-03",58.7221629648979,8.18844942968374,0.139443934219155,0.0935066289249966,0.0130389322128722,0.139443934219155,"Burnt","Dry Sclerophyll","Dry SclerophyllBurnt","Captains Creek"
"73","TL-UR-01",71.3166152120515,10.1787066384862,0.142725599192012,0.113561489191165,0.0162081315899462,0.142725599192012,"Unburnt","Rainforest","RainforestUnburnt","Tooloom"
"74","TL-US-01",61.391352190575,8.39608486840639,0.136763315496663,0.0977569302397692,0.0133695618923669,0.136763315496663,"Unburnt","Dry Sclerophyll","Dry SclerophyllUnburnt","Captains Creek"
"75","TL-US-02",64.0605414162522,8.60070890284899,0.134259072944191,0.102007231554542,0.0136953963421162,0.134259072944191,"Unburnt","Dry Sclerophyll","Dry SclerophyllUnburnt","Captains Creek"
"76","TL-US-03",80.0756767703153,9.77561421889794,0.122079695272983,0.127509039443177,0.0155662646797738,0.122079695272983,"Unburnt","Dry Sclerophyll","Dry SclerophyllUnburnt","Captains Creek"
"77","WP-BR-01",65.4324832905267,9.59521751929427,0.146643028611501,0.10419185237345,0.0152790087886851,0.146643028611501,"Burnt","Rainforest","RainforestBurnt","Washpool National Park"
"78","WP-BR-02",58.889234961474,8.97018198715224,0.152322949907918,0.0937726671361052,0.0142837292789048,0.152322949907918,"Burnt","Rainforest","RainforestBurnt","Washpool National Park"
"79","WP-UR-01",65.4324832905267,9.59521751929427,0.146643028611501,0.10419185237345,0.0152790087886851,0.146643028611501,"Unburnt","Rainforest","RainforestUnburnt","Washpool National Park"
"80","WP-UR-02",39.259489974316,6.98915929973357,0.178024709549359,0.0625151114240701,0.0111292345537159,0.178024709549359,"Unburnt","Rainforest","RainforestUnburnt","Washpool National Park"
