"","Species","Understorey","Canopy","Flyover","Midstorey","Ground","X9_Family_common_name_2","X10_Family_scientific_name_2"
"86","Varied Sittella",NA,1,NA,NA,NA,"Sittellas","Neosittidae"
"87","Superb Fairy-wren",1,NA,NA,NA,NA,"Fairy-wrens, Emu-wrens and Grasswrens","Maluridae"
"88","Bar-shouldered Dove",NA,NA,1,NA,NA,"Pigeons and Doves","Columbidae"
"89","Welcome Swallow",NA,NA,1,NA,NA,"Swallows and Martins","Hirundinidae"
"90","Striated Thornbill",NA,NA,NA,1,NA,"Thornbills and Gerygones","Acanthizidae"
"91","Wedge-tailed Eagle",NA,NA,1,NA,NA,"Eagles, Kites, Goshawks and Osprey","Accipitridae"
"92","Willie Wagtail",NA,NA,NA,NA,NA,"Fantails","Rhipiduridae"
"93","Glossy Black-Cockatoo",NA,1,NA,NA,NA,"Cockatoos and Corellas","Cacatuidae"
"94","Regent Bowerbird",NA,NA,1,NA,NA,"Bowerbirds and Catbirds","Ptilonorhynchidae"
"95","Collared Sparrowhawk",NA,1,NA,NA,NA,"Eagles, Kites, Goshawks and Osprey","Accipitridae"
"96","Spotted Quail-thrush",NA,NA,NA,NA,NA,"Whipbirds and Wedgebills","Cinclosomatidae"
"97","Pacific Baza",NA,NA,1,NA,NA,"Eagles, Kites, Goshawks and Osprey","Accipitridae"
"98","Shining Bronze-Cuckoo",NA,1,NA,NA,NA,"Cuckoos","Cuculidae"
"99","Superb Lyrebird",NA,NA,NA,NA,NA,"Lyrebirds","Menuridae"
